127.0.0.1 - - [02/Aug/2024:00:31:40 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [02/Aug/2024:00:31:41 +0530] "GET /prog/myFile.html HTTP/1.1" 200 136
0:0:0:0:0:0:0:1 - - [02/Aug/2024:00:31:41 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [02/Aug/2024:00:32:17 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [02/Aug/2024:00:32:40 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [02/Aug/2024:00:33:49 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [02/Aug/2024:00:33:52 +0530] "GET /prog/myFile.html HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [02/Aug/2024:00:33:53 +0530] "GET /prog/myFile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2024:00:33:54 +0530] "GET /prog/myFile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2024:00:34:04 +0530] "GET /prog/myFile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2024:00:34:04 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [02/Aug/2024:00:34:08 +0530] "GET /prog/myFile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2024:00:34:31 +0530] "GET /prog/myFile.html HTTP/1.1" 200 145
0:0:0:0:0:0:0:1 - - [02/Aug/2024:00:34:32 +0530] "GET /favicon.ico HTTP/1.1" 404 762
